02/17/2026-15:28:56.773143  [**] [1:2034636:2] ET INFO Python SimpleHTTP ServerBanner [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:58484
02/18/2026-16:10:55.889006  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:38750 -> 10.0.1.10:80
02/18/2026-16:10:57.806049  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:34334
02/18/2026-16:10:57.806049  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:34334
02/18/2026-16:10:57.806062  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:34334 -> 10.0.1.10:80
02/18/2026-16:10:57.806107  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:34334
02/18/2026-16:10:57.806133  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:34334 -> 10.0.1.10:80
02/18/2026-16:10:59.640286  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:34448
02/18/2026-16:10:59.640286  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:34448
02/18/2026-16:10:59.640298  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:34448 -> 10.0.1.10:80
02/18/2026-16:10:59.640337  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:34448
02/18/2026-16:10:59.640372  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:34448 -> 10.0.1.10:80
02/18/2026-16:11:01.481206  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:34546
02/18/2026-16:11:01.481206  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:34546
02/18/2026-16:11:01.481219  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:34546 -> 10.0.1.10:80
02/18/2026-16:11:01.481274  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:34546
02/18/2026-16:11:01.481288  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:34546 -> 10.0.1.10:80
02/18/2026-16:11:03.015429  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:34660 -> 10.0.1.10:80
02/18/2026-16:11:03.015470  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:34660
02/18/2026-16:11:03.015470  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:34660
02/18/2026-16:11:03.294532  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:34660 -> 10.0.1.10:80
02/18/2026-16:11:03.294533  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:34660
02/18/2026-16:11:05.141761  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:34760
02/18/2026-16:11:05.141761  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:34760
02/18/2026-16:11:05.141780  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:34760 -> 10.0.1.10:80
02/18/2026-16:11:05.141842  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:34760
02/18/2026-16:11:05.141895  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:34760 -> 10.0.1.10:80
02/18/2026-16:11:06.676220  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:34836 -> 10.0.1.10:80
02/18/2026-16:11:06.676234  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:34836
02/18/2026-16:11:06.676234  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:34836
02/18/2026-16:11:06.946770  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:34836 -> 10.0.1.10:80
02/18/2026-16:11:06.946778  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:34836
02/18/2026-16:11:08.751054  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:36620
02/18/2026-16:11:08.751054  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:36620
02/18/2026-16:11:08.751069  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:36620 -> 10.0.1.10:80
02/18/2026-16:11:08.751122  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:36620
02/18/2026-16:11:08.751142  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:36620 -> 10.0.1.10:80
02/18/2026-16:11:10.667707  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:36714
02/18/2026-16:11:10.667707  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:36714
02/18/2026-16:11:10.667720  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:36714 -> 10.0.1.10:80
02/18/2026-16:11:10.667770  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:36714
02/18/2026-16:11:10.667789  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:36714 -> 10.0.1.10:80
02/18/2026-16:11:12.221305  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:36830
02/18/2026-16:11:12.221305  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:36830
02/18/2026-16:11:12.221316  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:36830 -> 10.0.1.10:80
02/18/2026-16:11:12.493695  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:36830
02/18/2026-16:11:12.493713  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:36830 -> 10.0.1.10:80
02/18/2026-16:12:23.808278  [**] [1:2034636:2] ET INFO Python SimpleHTTP ServerBanner [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:60952
02/18/2026-16:19:14.237623  [**] [1:2034636:2] ET INFO Python SimpleHTTP ServerBanner [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:54752
02/18/2026-16:19:49.873563  [**] [1:2260003:1] SURICATA Applayer Protocol detection skipped [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:45880 -> 10.0.1.10:80
02/18/2026-16:33:06.112241  [**] [1:1000999:1] FILE-IDENTIFY: ELF Binary File Transfer Detected (Linux Malware?) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.1.10:8080 -> 10.0.3.10:54364
02/18/2026-16:33:06.112241  [**] [1:2034636:2] ET INFO Python SimpleHTTP ServerBanner [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:54364
02/18/2026-16:33:36.583067  [**] [1:1000999:1] FILE-IDENTIFY: ELF Binary File Transfer Detected (Linux Malware?) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.1.10:80 -> 10.0.3.10:39212
02/18/2026-16:33:36.583567  [**] [1:2260003:1] SURICATA Applayer Protocol detection skipped [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:39212 -> 10.0.1.10:80
02/19/2026-15:22:34.966669  [**] [1:1000999:1] FILE-IDENTIFY: ELF Binary File Transfer Detected (Linux Malware?) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.1.10:8080 -> 10.0.3.10:53742
02/19/2026-15:22:34.966669  [**] [1:2034636:2] ET INFO Python SimpleHTTP ServerBanner [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:53742
02/19/2026-15:22:34.970764  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:53742 -> 10.0.1.10:8080
02/19/2026-15:22:34.970764  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:53742 -> 10.0.1.10:8080
02/19/2026-15:22:34.970777  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:53742
02/19/2026-15:22:34.970823  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:53742
02/19/2026-15:22:34.971102  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:53742 -> 10.0.1.10:8080
02/19/2026-15:22:34.971102  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:53742 -> 10.0.1.10:8080
02/19/2026-15:22:34.971159  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:53742
02/19/2026-15:22:34.978507  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:53742
02/19/2026-15:22:34.980073  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:53742 -> 10.0.1.10:8080
02/19/2026-15:22:34.980073  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:53742 -> 10.0.1.10:8080
02/19/2026-15:25:26.178939  [**] [1:2260000:1] SURICATA Applayer Mismatch protocol both directions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:43536 -> 10.0.1.10:80
02/19/2026-15:25:26.228416  [**] [1:2221036:1] SURICATA HTTP Response excessive header repetition [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:43542
02/19/2026-15:25:41.226799  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:25:43.310387  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:25:44.961669  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:25:47.339593  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:25:49.242479  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:25:52.017732  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:25:54.161819  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:25:55.573002  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:25:55.773426  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:25:56.014355  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:44072
02/19/2026-15:25:56.014355  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:44072
02/19/2026-15:25:56.014372  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:44072 -> 10.0.1.10:80
02/19/2026-15:25:56.015959  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:44072 -> 10.0.1.10:80
02/19/2026-15:25:56.090745  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:44072
02/19/2026-15:25:56.090745  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:44072
02/19/2026-15:25:56.092441  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:44072 -> 10.0.1.10:80
02/19/2026-15:25:56.092544  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:44072
02/19/2026-15:25:57.330321  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:25:58.398649  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:26:10.578989  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:26:10.783404  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:47624 -> 10.0.1.10:80
02/19/2026-15:26:10.783432  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:47624
02/19/2026-15:26:10.783432  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:47624
02/19/2026-15:26:10.784597  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:47624 -> 10.0.1.10:80
02/19/2026-15:26:10.787498  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:47624
02/19/2026-15:26:10.787498  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:47624
02/19/2026-15:26:10.818419  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:47624 -> 10.0.1.10:80
02/19/2026-15:26:10.818511  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:47624
02/19/2026-15:26:12.010124  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:26:13.008309  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:26:13.781777  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:47634 -> 10.0.1.10:80
02/19/2026-15:26:13.781792  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:47634
02/19/2026-15:26:13.781792  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:47634
02/19/2026-15:26:13.782848  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:47634 -> 10.0.1.10:80
02/19/2026-15:26:13.784388  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:47634
02/19/2026-15:26:13.784388  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:47634
02/19/2026-15:26:13.788946  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:47634 -> 10.0.1.10:80
02/19/2026-15:26:13.844921  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:47634
02/19/2026-15:26:13.844921  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:47634
02/19/2026-15:26:14.004934  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:47634 -> 10.0.1.10:80
02/19/2026-15:26:14.005026  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:47634
02/19/2026-15:26:14.173033  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:26:16.282788  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:26:18.249699  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:26:20.602725  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:26:23.040727  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:26:25.371699  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:26:26.697642  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:26:28.434667  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:26:29.590449  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:26:32.117352  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:56798 -> 10.0.1.10:80
02/19/2026-15:26:32.117350  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:56798
02/19/2026-15:26:32.117350  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:56798
02/19/2026-15:26:32.118274  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:56798 -> 10.0.1.10:80
02/19/2026-15:26:32.194236  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:56798 -> 10.0.1.10:80
02/19/2026-15:26:32.194320  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:56798
02/19/2026-15:26:39.622743  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:26:42.606633  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:26:44.890236  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:43542 -> 10.0.1.10:80
02/19/2026-15:30:48.525102  [**] [1:2260000:1] SURICATA Applayer Mismatch protocol both directions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:34364 -> 10.0.1.10:80
02/19/2026-15:30:48.572476  [**] [1:2221036:1] SURICATA HTTP Response excessive header repetition [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:34374
02/19/2026-15:31:00.521627  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:34374 -> 10.0.1.10:80
02/19/2026-15:31:01.992848  [**] [1:1000703:2] LAB Possible HTTP beaconing (High Frequency) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.3.10:34374 -> 10.0.1.10:80
